,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
195,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.2188758248682006,Black,Sapphire,Chronograph,4.276666119016055,16800.0
196,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.711130063048756,2.509599262378372,2.995732273553991,Silver,Sapphire,Date,3.784189633918261,6900.0
198,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.7256934272366524,2.3978952727983707,3.044522437723423,Silver,Sapphire,Date,3.6888794541139363,19500.0
199,Breguet,Classique,18k White Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.157559320943788,2.995732273553991,Silver,Sapphire,Date,4.007333185232471,24500.0
200,Piaget,Altiplano,18k Rose Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,1.791759469228055,2.995732273553991,White,Sapphire,None,3.7612001156935624,20800.0
202,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.3869262414277967,3.091042453358316,Black,Sapphire,Date,3.828641396489095,9700.0
203,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.642622395779755,3.091042453358316,Silver,Sapphire,Chronograph,3.912023005428146,7400.0
204,Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,5.298317366548036,3.784189633918261,2.653241964607215,3.091042453358316,Black,Sapphire,Date,4.248495242049359,4300.0
205,Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6838669122903918,2.206074192613202,2.995732273553991,Silver,Sapphire,Date,3.7376696182833684,6500.0
206,Omega,Speedmaster,Stainless Steel,Leather,Manual,3.912023005428146,3.7376696182833684,2.617395832834079,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,5500.0
207,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.517696472610991,2.995732273553991,Black,Sapphire,"GMT, Date",4.248495242049359,9100.0
208,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.174751721484161,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,7500.0
209,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,20900.0
210,IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,4.0943445622221,3.6888794541139363,2.379546134130174,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,4200.0
211,Patek Philippe,Calatrava,18k White Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.151762203259462,2.995732273553991,Silver,Sapphire,Date,3.871201010907891,22000.0
213,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.5416019934645457,3.091042453358316,Black,Sapphire,Date,4.248495242049359,3600.0
214,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,4.605170185988092,3.58351893845611,2.5257286443082556,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,8900.0
215,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.6026896854443837,2.995732273553991,Black,Sapphire,Chronograph,4.0943445622221,6800.0
217,Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,5.298317366548036,3.7376696182833684,2.66374994220563,2.995732273553991,Black,Sapphire,Date,3.6375861597263857,4400.0
219,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.1400661634962708,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,7500.0
220,Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,5.298317366548036,3.713572066704308,2.6741486494265287,3.091042453358316,Black,Sapphire,GMT,4.248495242049359,4500.0
221,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.5217206229107165,2.9444389791664403,White,Sapphire,Chronograph,3.912023005428146,6900.0
223,Oris,Divers Sixty-Five,Stainless Steel,Leather,Automatic,4.605170185988092,3.6888794541139363,2.5572273113676265,2.995732273553991,Blue,Sapphire,Date,3.6375861597263857,1500.0
224,Hamilton,Khaki Field,Stainless Steel,NATO Strap,Automatic,4.605170185988092,3.6375861597263857,2.272125885509337,2.995732273553991,Black,Sapphire,None,4.382026634673881,595.0
226,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.72785282839839,3.091042453358316,Black,Sapphire,Date,4.276666119016055,5400.0
227,Patek Philippe,Calatrava,White Gold,Leather,Manual,3.4011973816621555,3.6109179126442243,2.0412203288596382,2.995732273553991,White,Sapphire,None,3.784189633918261,25000.0
228,Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.2188758248682006,Black,Sapphire,Chronograph,4.276666119016055,15000.0
229,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,3.912023005428146,3.6375861597263857,2.533696813957432,2.995732273553991,Silver,Sapphire,Chronograph,3.912023005428146,7500.0
230,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,25000.0
231,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,18000.0
232,Breguet,Classique,White Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.157559320943788,3.044522437723423,Silver,Sapphire,None,4.007333185232471,20000.0
233,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,4.605170185988092,3.7376696182833684,2.5494451709255714,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,8500.0
235,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Black,Sapphire,Date,3.9889840465642745,9000.0
236,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,3.044522437723423,Blue,Sapphire,Date,4.007333185232471,51000.0
238,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.832979798087693,2.70805020110221,2.995732273553991,Black,Sapphire,Chronograph,4.219507705176107,7500.0
240,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Silver,Sapphire,Date,4.0943445622221,21500.0
241,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,Black,Sapphire,Chronograph,3.912023005428146,7500.0
242,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.091042453358316,Black,Sapphire,Chronograph,4.276666119016055,15000.0
243,Breguet,Classique,18k Rose Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.322387720290225,3.091042453358316,Silver,Sapphire,None,3.6888794541139363,18000.0
245,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.3869262414277967,3.091042453358316,Blue,Sapphire,Date,3.9889840465642745,11500.0
247,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.691243082785829,3.091042453358316,Black,Sapphire,None,4.248495242049359,3800.0
248,Panerai,Luminor,Stainless Steel,Leather,Manual,4.605170185988092,3.784189633918261,2.5687881337687024,3.1780538303479458,Black,Sapphire,None,4.02535169073515,6400.0
249,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Silver,Sapphire,Date,4.0943445622221,8900.0
250,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,20400.0
251,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.044522437723423,Blue,Sapphire,Date,4.0943445622221,22000.0
252,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,3.044522437723423,Blue,Sapphire,Date,3.8066624897703196,62500.0
254,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.5392369943330477,2.995732273553991,Silver,Sapphire,Chronograph,3.7376696182833684,5900.0
255,Longines,Master Collection,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6888794541139363,2.2353763433005955,2.995732273553991,Silver,Sapphire,Date,4.1588830833596715,1500.0
256,Montblanc,Heritage,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.2874714551839976,2.995732273553991,Black,Sapphire,Date,3.6375861597263857,2700.0
257,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,Black,Sapphire,Chronograph,3.912023005428146,6500.0
258,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.468099531471619,3.044522437723423,Blue,Sapphire,Date,4.248495242049359,7800.0
259,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.6210388241125804,2.995732273553991,Black,Sapphire,"Chronograph, Date",3.871201010907891,5300.0
260,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,4.605170185988092,3.6635616461296463,2.6741486494265287,3.091042453358316,Blue,Sapphire,Chronograph,3.7376696182833684,5900.0
262,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,3.4011973816621555,3.7376696182833684,2.5649493574615367,3.091042453358316,Silver,Sapphire,Date,3.7376696182833684,7500.0
263,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.0149030205422647,2.995732273553991,White,Sapphire,Date,3.6375861597263857,6200.0
264,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.5257286443082556,2.995732273553991,Black,Sapphire,"GMT, Date",4.248495242049359,9500.0
265,Omega,Aqua Terra,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.7256934272366524,2.5649493574615367,2.995732273553991,Silver,Sapphire,Date,4.0943445622221,4700.0
268,Cartier,Santos,Stainless Steel,Leather,Automatic,4.605170185988092,3.55820113047182,2.178155014615869,3.091042453358316,Silver,Sapphire,Date,3.7376696182833684,5300.0
269,Rolex,Daytona,Yellow Gold,Leather,Automatic,4.605170185988092,3.6888794541139363,2.517696472610991,2.995732273553991,Ivory,Sapphire,Chronograph,4.276666119016055,39500.0
270,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Sapphire,Chronograph,3.871201010907891,5400.0
271,TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,4.605170185988092,3.6635616461296463,2.6390573296152584,3.091042453358316,Blue,Sapphire,Chronograph,3.7376696182833684,6550.0
274,Patek Philippe,Calatrava,White Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.1102132003465894,2.995732273553991,Silver,Sapphire,None,3.871201010907891,25800.0
275,Tudor,Black Bay,Stainless Steel,Fabric,Automatic,5.298317366548036,3.713572066704308,2.4765384001174837,3.091042453358316,Black,Sapphire,Date,4.248495242049359,4100.0
277,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,None,4.0943445622221,6900.0
278,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,19800.0
279,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.58351893845611,2.4849066497880004,2.995732273553991,Black,Sapphire,Date,4.248495242049359,8100.0
280,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.58351893845611,2.5257286443082556,2.995732273553991,Black,Sapphire,Date,4.248495242049359,6500.0
281,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,5400.0
282,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,4.007333185232471,44000.0
284,Hublot,Classic Fusion,18k King Gold,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.3513752571634776,3.091042453358316,Blue,Sapphire,None,3.7376696182833684,20200.0
285,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,24800.0
286,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.5494451709255714,3.091042453358316,Black,Sapphire,Date,3.7376696182833684,4800.0
287,Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,5.298317366548036,3.713572066704308,2.6741486494265287,3.091042453358316,Black,Sapphire,GMT,4.248495242049359,4000.0
288,Breguet,Classique,18k White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.9387416595767009,2.995732273553991,White,Sapphire,None,4.174387269895637,22500.0
290,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.5392369943330477,3.091042453358316,Black,Sapphire,Chronograph,3.7376696182833684,6900.0
291,Panerai,Luminor,Titanium,Leather,Automatic,4.605170185988092,3.784189633918261,2.750470916986162,3.1780538303479458,Black,Sapphire,None,4.276666119016055,7500.0
292,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,"Date, Stopwatch",4.0943445622221,25000.0
293,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.091042453358316,Blue,Sapphire,"Date, Moon Phase",3.8066624897703196,70000.0
294,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.379546134130174,2.995732273553991,Black,Sapphire,"Date, Stopwatch",3.7376696182833684,5500.0
296,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,4.605170185988092,3.784189633918261,2.667228206581955,3.091042453358316,Blue,Sapphire,"Date, Power Reserve",4.0943445622221,7500.0
297,Breguet,Classique,Rose Gold,Leather,Automatic,3.4011973816621555,3.6375861597263857,2.1102132003465894,2.995732273553991,Silver,Sapphire,None,3.8066624897703196,20000.0
298,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6375861597263857,2.3869262414277967,3.091042453358316,Black,Sapphire,None,3.828641396489095,8500.0
299,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.7376696182833684,2.6461747973841225,3.1780538303479458,Black,Sapphire,"Date, Chronograph",3.7376696182833684,12000.0
300,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.642622395779755,2.995732273553991,Silver,Sapphire,"Date, Chronograph",3.912023005428146,6000.0
301,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,12000.0
302,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Black,Sapphire,Date,4.0943445622221,22000.0
303,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.3513752571634776,3.091042453358316,Blue,Sapphire,Date,3.7376696182833684,8500.0
305,Breguet,Classique,18K White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.8082887711792655,2.995732273553991,Silver,Sapphire,None,4.174387269895637,16000.0
307,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,4.605170185988092,3.742420221041966,2.533696813957432,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,8900.0
308,IWC,Portugieser Chronograph,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.5726122302071057,2.995732273553991,White,Sapphire,Chronograph,3.828641396489095,7600.0
309,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,57000.0
310,Montblanc,1858 Geosphere,Titanium,Leather,Automatic,4.605170185988092,3.7376696182833684,2.5494451709255714,3.091042453358316,Black,Sapphire,GMT,3.7376696182833684,6500.0
311,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.7256934272366524,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,21000.0
312,Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.5217206229107165,2.995732273553991,Silver,Sapphire,Chronograph,3.912023005428146,6000.0
313,Rolex,Daytona,18k Yellow Gold,Leather,Automatic,4.605170185988092,3.6888794541139363,2.517696472610991,2.995732273553991,Champagne,Sapphire,Chronograph,4.276666119016055,29500.0
314,Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,3.912023005428146,3.6109179126442243,2.2823823856765264,2.8903717578961645,Blue,Sapphire,None,4.0943445622221,36500.0
315,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.091042453358316,Blue,Sapphire,Date,3.8066624897703196,51000.0
316,IWC,Portuguese,Stainless Steel,Leather,Automatic,3.4011973816621555,3.744787086052232,2.653241964607215,3.091042453358316,White,Sapphire,Date,4.0943445622221,8800.0
318,Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.091042453358316,Black,Sapphire,Chronograph,4.276666119016055,19500.0
319,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,4.605170185988092,3.7612001156935624,2.533696813957432,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,7000.0
320,Breguet,Classique,18k White Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,2.0082140323914683,2.995732273553991,Silver,Sapphire,None,4.174387269895637,23000.0
321,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.2188758248682006,Black,Sapphire,Date,3.828641396489095,9500.0
322,Piaget,Altiplano,18k White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.8500283773520307,2.995732273553991,Silver,Sapphire,None,3.7612001156935624,18500.0
323,Vacheron Constantin,Patrimony,18k Rose Gold,Leather,Manual,3.4011973816621555,3.7376696182833684,2.0347056478384444,2.995732273553991,Silver,Sapphire,None,4.174387269895637,22500.0
325,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,6500.0
326,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,20000.0
327,Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.258096538021482,Black,Sapphire,Chronograph,4.276666119016055,12000.0
328,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Blue,Sapphire,Date,3.9889840465642745,6500.0
329,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.4362414778067194,3.091042453358316,Black,Sapphire,Chronograph,3.871201010907891,6200.0
330,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,15000.0
331,Piaget,Altiplano,White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.8500283773520307,2.995732273553991,Silver,Sapphire,None,3.784189633918261,22000.0
332,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,3.091042453358316,Black,Sapphire,Chronograph,3.912023005428146,5500.0
333,Breguet,Classique,White Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.322387720290225,3.091042453358316,Silver,Sapphire,None,3.8066624897703196,19000.0
334,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.5416019934645457,3.091042453358316,Black,Sapphire,None,4.248495242049359,3500.0
335,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.58351893845611,2.5257286443082556,2.995732273553991,Blue,Sapphire,"Date, Cyclops",4.248495242049359,7400.0
336,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,5000.0
337,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6838669122903918,2.206074192613202,2.995732273553991,Silver,Sapphire,Date,3.7376696182833684,6200.0
342,Zenith,Elite Classic,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.0980179272527715,2.995732273553991,Silver,Sapphire,Date,3.912023005428146,4900.0
343,Longines,Conquest Classic,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.3749057545736716,2.995732273553991,Silver,Sapphire,Date,3.9889840465642745,1850.0
344,Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.4336133554004498,3.091042453358316,White,Sapphire,"Date, Moonphase",3.7376696182833684,3900.0
346,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,4.605170185988092,3.713572066704308,2.468099531471619,2.995732273553991,Blue,Sapphire,Date,4.248495242049359,9500.0
347,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6210388241125804,2.995732273553991,Black,Hesalite,"Chronograph, Tachymeter",3.871201010907891,5350.0
348,Breitling,Superocean Heritage,Stainless Steel,Stainless Steel,Automatic,5.298317366548036,3.784189633918261,2.653241964607215,3.091042453358316,Blue,Sapphire,Date,3.6375861597263857,3250.0
350,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,4.605170185988092,3.6635616461296463,2.6390573296152584,3.091042453358316,Blue,Sapphire,Chronograph,3.6888794541139363,4950.0
351,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.1400661634962708,2.995732273553991,Silver,Sapphire,"Date, Moonphase",4.248495242049359,6500.0
353,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,27000.0
354,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6988297849671046,2.509599262378372,2.995732273553991,Silver,Sapphire,Chronograph,3.828641396489095,7250.0
355,Patek Philippe,Calatrava,18K White Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,2.1102132003465894,2.995732273553991,White,Sapphire,None,3.784189633918261,25000.0
356,Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,4.605170185988092,3.7376696182833684,2.2823823856765264,3.1780538303479458,Black,Sapphire,None,3.6888794541139363,3800.0
357,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.58351893845611,2.5257286443082556,2.995732273553991,Silver,Sapphire,"Date, Cyclops Lens",4.248495242049359,8000.0
358,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,"Chronograph, Tachymeter",3.871201010907891,4500.0
359,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,52000.0
360,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,28500.0
361,IWC,Pilot's Watch Mark,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.5257286443082556,2.995732273553991,Black,Sapphire,"Date, Chronograph",3.784189633918261,6800.0
362,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.7376696182833684,2.6461747973841225,3.1780538303479458,Black,Sapphire,Chronograph,4.276666119016055,16000.0
364,Breguet,Classique,18K White Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.157559320943788,2.995732273553991,Silver,Sapphire,None,3.6888794541139363,19000.0
366,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.2188758248682006,Black,Sapphire,Date,3.828641396489095,8000.0
367,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,3.4011973816621555,3.7612001156935624,2.5241273629412815,3.1354942159291497,Silver,Sapphire,None,4.219507705176107,10000.0
368,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.5257286443082556,2.995732273553991,Black,Sapphire,"Date, GMT",4.248495242049359,9700.0
369,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.044522437723423,Blue,Sapphire,Date,3.8066624897703196,29800.0
370,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,5350.0
371,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,18500.0
372,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.7612001156935624,2.70805020110221,3.091042453358316,Black,Sapphire,Date,4.276666119016055,4950.0
373,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,White,Sapphire,"Chronograph, Date",3.912023005428146,7900.0
375,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.1780538303479458,Black,Sapphire,"Chronograph, Date",4.276666119016055,16000.0
376,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Blue,Sapphire,Date,3.9889840465642745,12800.0
377,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.172476407647025,2.995732273553991,Silver,Sapphire,"Date, Power Reserve Indicator",4.248495242049359,8500.0
